,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
0,Fri Dec 15 04:04:44 +0000 2023,1.73551E+18,"@dedy_pram Pastilah, Prabowo Anies nggak punya prestasi...",0,0,0,0,in,7.97761E+17,1.73515E+18,MarahIchsan,https://twitter.com/MarahIchsan/status/1735511179781656951
1,Fri Dec 15 04:04:33 +0000 2023,1.73551E+18,Suasana pedesaan memang selalu menyenangkan... udara segar dengan rimbunnya tumbuhan hijau... sungai jernih penuh ikan-ikan kecil sampai besar yg menarik ...  Angin Dieng yg Gacoan Adidas Semalem bukan Ordal Anies https://t.co/7BXHMzo2Kn,0,0,0,0,in,9.36445E+17,1.73551E+18,Agung_wiyo,https://twitter.com/Agung_wiyo/status/1735511136202813536
2,Fri Dec 15 04:04:31 +0000 2023,1.73551E+18,Program anies hanyalah mengubah nama rumah sakit se Indonesia wkwk!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/q63OMtb3Ka,0,0,0,0,in,768652236,1.73551E+18,Alfakton_i,https://twitter.com/Alfakton_i/status/1735511127524851742
3,Fri Dec 15 04:04:27 +0000 2023,1.73551E+18,@kumparan @aniesbaswedan anies... BERBOHONG DAN NIPU TANPA RASA BERSALAH,0,0,0,0,in,1.71082E+18,1.73515E+18,justtheway333,https://twitter.com/justtheway333/status/1735511110340825410
4,Fri Dec 15 04:04:26 +0000 2023,1.73551E+18,Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/9ubCGtY30v,0,0,1,1,in,1.66176E+18,1.73551E+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511105630540090
5,Fri Dec 15 04:04:25 +0000 2023,1.73551E+18,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/5ftxD8kCsB",0,1,1,1,in,1.66176E+18,1.73551E+18,singgihabdrchmn,https://twitter.com/singgihabdrchmn/status/1735511103046893580
6,Fri Dec 15 04:04:15 +0000 2023,1.73551E+18,"@hasyimmah Alesan harus jelas dan pak anies sudah menjelaskan sejelas jelas nya,masih engga paham?dungu berarti",0,0,0,1,in,3157194798,1.73519E+18,7f33229758ab489,https://twitter.com/7f33229758ab489/status/1735511059925229872
7,Fri Dec 15 04:04:13 +0000 2023,1.73551E+18,@brochandra @ainunnajib Wow mantap sekali. Apakah ini artinya bro Anies akan menjadi presiden RI?,0,0,0,0,in,353739058,1.73545E+18,MisterMarmut,https://twitter.com/MisterMarmut/status/1735511049322025409
8,Fri Dec 15 04:04:12 +0000 2023,1.73551E+18,"@ajengcute16__ saya dulu belajar majas  kelas 8 SMP,saya paham apa yang dibilang pak anies. kalo yang ga paham mungkin belum mengenyam kelas 8.",0,0,0,0,in,1.41042E+18,1.73515E+18,id_edx,https://twitter.com/id_edx/status/1735511048718045241
9,Fri Dec 15 04:04:03 +0000 2023,1.73551E+18,"@tvOneNews Kasian kiki, padahal itu fakta, memang si anies jago berkata kata saja demi menarik simpati, padahal implementasinya dijamin NOL. Cth waktu jd mentri dan gubernur aja, kerja nya standar banget. #AniesMuhaimin2024 #AMIN",0,0,0,0,in,1.59686E+18,1.73547E+18,bimasakti_2013,https://twitter.com/bimasakti_2013/status/1735511008104620433
