created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 08 23:45:58 +0000 2023;1711166073662525852;"Haaii aku jual netflix 1 bulan sebulan 20k aja lagi promo yuukk 1p2u ready 10 slot siap copas yaa! Ada Ice Cold juga nih baru tayang di Netflix ✨🥳  Yang less limit juga ada 1p1u 38k ajaa ready 5 lgsg copas juga 💗🦋";0;0;0;0;in;1412947412260319234;1711166073662525852;mixcrowave;https://twitter.com/mixcrowave/status/1711166073662525852
Sun Oct 08 19:26:17 +0000 2023;1711100720181862547;"Terlepas apakah yang dilakukan Netflix dengan menayangkan film dokumenter Ice Cold menggiring opini, yang pasti dalam film dokumenter tersebut yang diberikan adalah fakta.";0;0;0;0;in;44882453;1711100720181862547;ddhymaz;https://twitter.com/ddhymaz/status/1711100720181862547
Sun Oct 08 18:24:09 +0000 2023;1711085086664171913;"Watched Ice Cold documentary on Netflix, the most suspicious person is Mirna’s father. And in the end, this documentary exposed the ways in which Indonesia’s judicial system is flawed.";0;0;0;2;en;140255354;1711085086664171913;ShireenAmir;https://twitter.com/ShireenAmir/status/1711085086664171913
Sun Oct 08 20:19:51 +0000 2023;1711114200817275321;"Ice Cold on Netflix is so good";0;0;0;0;en;3070574938;1711114200817275321;jennyglozer;https://twitter.com/jennyglozer/status/1711114200817275321
Sun Oct 08 23:32:25 +0000 2023;1711162664553173260;"https://t.co/dBHtffcYLr People who have already watch Netflix Documenter "Ice Cold:Murder, Coffee, and Jessica Wongso should read this to get insight from another viewpoint";0;0;0;0;en;1082040168;1711162664553173260;moi_nisa;https://twitter.com/moi_nisa/status/1711162664553173260
Sun Oct 08 19:10:48 +0000 2023;1711096824516530322;"lebih detailnya lagi setelah netflix #Icecoldnetflix https://t.co/sfAsstDvME";0;0;0;0;in;1643492888;1711096824516530322;topanrizaldiii;https://twitter.com/topanrizaldiii/status/1711096824516530322
Sun Oct 08 19:01:03 +0000 2023;1711094370957730167;"Penjelasan Dokter Ahli Sianida yang tampil dalam dokumeter Netflix "Ice Cold" https://t.co/KVORpJhcv5";0;0;0;0;in;1377422174529617925;1711094370957730167;LitheJournal;https://twitter.com/LitheJournal/status/1711094370957730167
Sun Oct 08 21:57:41 +0000 2023;1711138823349137855;"And that's kid, is how your mother procrastinated her work and decided to dedicate a 1,5 confusing hour to watch Ice Cold documentary on Netflix 😂";0;1;0;0;en;14853177;1711138821738561782;diazbela;https://twitter.com/diazbela/status/1711138823349137855
Sun Oct 08 18:10:40 +0000 2023;1711081692042322138;"woi beli netflix dmn yg murce bokap gua mau nonton ice cold wkwk";0;18;0;4;in;1290301569406132224;1711081692042322138;217kxxxy;https://twitter.com/217kxxxy/status/1711081692042322138
Sun Oct 08 18:02:54 +0000 2023;1711079737811198343;"pgn beli Netflix lg buat nntn ice cold, soalnya di fyp banyak pak Karni lucu";0;1;0;1;in;1655984661754155011;1711079737811198343;euwriel;https://twitter.com/euwriel/status/1711079737811198343
Sun Oct 08 17:25:13 +0000 2023;1711070255337124139;"Selain “Ice Cold”, Ini Film Dokumenter Netflix yang Angkat Kisah Pembunuhan. 👇  Surabaya (https://t.co/ksziGGp1k3) – Belakangan waktu ini, film dokumenter berjudul Ice Cold: Murder, Coffee, and Jessica Wongso menjadi… #Ragam #film via @beritajatimcom https://t.co/VouEPKa4uy";0;0;0;0;in;21287066;1711070255337124139;beritajatimcom;https://twitter.com/beritajatimcom/status/1711070255337124139
Sun Oct 08 17:31:12 +0000 2023;1711071759225749996;"🎬 ice cold: murder, coffee and jessica wongso (2023) 🎭 documentary 📺 netflix https://t.co/vZeXg440Gw";0;1;0;0;en;1349382501744054272;1612442223186173954;slwpy;https://twitter.com/slwpy/status/1711071759225749996
Sun Oct 08 16:47:32 +0000 2023;1711060772472996068;"Tadi maghrib...aku yg lagi nyetrika sambil netflix di lantai 2 tiba2 denger suara kucing.  Yak tolong dulu, aku lagi nonton Ice Cold kenapa ada suara kucing 😑  Sekilas muncul putih2 dari luar jendela ruang setrika dan...👻 https://t.co/eWmkRbZtKW";0;1;0;0;in;270190424;1711057420343259450;maymooz;https://twitter.com/maymooz/status/1711060772472996068
Sun Oct 08 16:31:27 +0000 2023;1711056724017459210;"Menghukum orang tanpa bukti yang sah. Ingat KARMA cepat akan berlaku 😊 #Jessica #IceCold #Netflix";0;0;0;0;in;1701593363320049664;1711056724017459210;so83772;https://twitter.com/so83772/status/1711056724017459210
Sun Oct 08 16:18:47 +0000 2023;1711053537768358132;"Abis nntn Icecold di netflix. Dulu aku sempet ikutin ceritanya.  Kalo menurut aku, korban meninggal karna asam lambung kronis kena kopi yg kuat bgt. Karna muntah muntah, Dan ga langsung meninggal kan sempet di bawa ke RS.  Terus karna ayahnya mikir di bunuh dan ada org lain yg… https://t.co/yg9uh21m78";0;0;15;21;in;1516005040636321794;1711053537768358132;Ladyjelita002;https://twitter.com/Ladyjelita002/status/1711053537768358132
Sun Oct 08 15:58:53 +0000 2023;1711048529194651700;"Reco watch: Ice Cold: Murder, Coffee and Jessica Wongso on Netflix. Review in @t2telegraph";0;0;0;1;en;39248468;1711048529194651700;priyankaroy2706;https://twitter.com/priyankaroy2706/status/1711048529194651700
